"English","Wolaytta"
"The roof began leakinig","aatuwa%1. noun%► leak%● Kaaray aatuwa doommiis."
"An insult can break the tie between","laggetu giddon diya issippetetaa moorees."
"The roof began leakinig","aatuwa%1. noun%► leak%● Kaaray aatuwa doommiis."
"An insult can break the tie between","laggetu giddon diya issippetetaa moorees."
"Our grandmother told us an amusing story.","miichchiya haysiya odaasu."
"Her grandmother is kind","aayyiya keha asa gidiyo gishshaw naata ubbaa siiqaws."
"My grandmother","and loves every child equally.%● Tana aawaa aayyiya dichchaasu."
"Young children become taller when they grow up.","dicciiddi geesaa aduqqoosona."
"Unless we work hard, the","%● Nu minnidi oottana xayikko, ha oosoy ellellenna."
"He has","work will take longer. %● I zilayttappe ha laytti geesaa aduqqiis."
"If you are not","plan), be canceled%● Neeni eesotan xayikko, oosoy agacees."
"Because the bosses were reluctant, the work was aborted","agaciis."
"Because the workers","Oosanchchati loodaara oottiyogaa gaasuwan oosoy agaciis."
"the first world war","alamiya%1. noun%► world; earth%● koyro alamiya olaa"
"Some tourists travel the whole world.","issi turistteti alamiya ubbaayuuyoosona."
"world peace%(syn) [sa'aa]","%● alamiyasarotaa"
"Cold water quenches my thirst better than milk.","saamuwa maattaappe aaro alees."
"I quenched my thirst after I","%● Ta burccukko haattaa uyada saamuwa alaas."
"I am not","drank a glass of water.%● Ne oottido oosuwan taani alabeykke."
"A diamond is a jewel.","Almaazee alleeqo."
"A jeweler sells jewelery.","bayzzees."
"People often put ornaments around their necks and","aattees kushiyankka wottees."
"I trust him because he is an honest boy.","gidiyo gishshawu taani A ammanays."
"The policeman believes that the","Bitanee daafan hayqqidoogaa xaacee ammanees."
"People confronted him about his misdeeds and he admitted to them.","ammaniis."
"When the time of death comes, fathers","darotoo bantta naatussi aattoosona."
"When the","Maccaasiya maxiniya shammishin, bayzziyagee guutta anjjuwa immiis."
"He got permission to attend the class.","anttettaa demmiis."
"The teacher did not give me permission to go","soo baanawu anttettaa diggiis."
"Although I haven't a driver's license, I am able to drive","lagguwa danddayays."
"He spent the whole night sleeping.","muliya xiskkidi aqiis."
"My husband does not allow me to spend the night","sooppe karen aqanawu anttenna."
"He","away from our home.%► agree%● I ta giidosan aqiis. Tanaara palamettibeenna."
"the throne of a king","araataa%1. noun%► throne%● kawuwa araataa"
"A throne is an elaborate chair for royalty.","kawuwassi bonchcho oyde."
"Father sat on the chair.","seat%● Aaway araataa bolli uttiis."
"We ate half a kilo of roasted meat for breakfast.","miida."
"Give a portion of meat to my dog.","kanaassi qanxxada ola."
"My brother's son is my relative.","na'ay taayyoo asho."
"A teacher has to be friendly to his","shiishshi ekkiyagaa gidanawu koshshees."
"The teacher, to whom I spoke, has been teaching for ten years.","takkiis."
"Our instructor is a beginner. He is not experienced in explaining the","baawa."
"He forgave me when I came late.%(syn) [maariis]","giis."
"A: How","ay keenaa%1. adverb%► how long%● A: Ne ay keena wodiya hagan takkadii?"
"B: For ten years.","long have you been here?%● B: Tammu laytta takkaas."
"How long have you been studying English?%","keena Inggillizettuwa tamaaradii?"
"Sweat dreams!","aymuwa%1. noun%► dream; nightmare%● Niyo lo''o aymo gido!"
"He thought his father","bari aaway hayqqidobadan qoppiis, shin hegee iita aymo."
"My lifelong wish was to be a famous teacher.","Asttamaarekiyanaassa."
"The teacher ordered me to clean the blackboard.","quccanawu azaziis."
"The principal","gadaaway xaafiya mule dabidaabiya eessuwan xaafanaadan azazziis."
"The doctor prescribed this medicine.","azaziis."
"Her husband died","saaminttan hayqqiis, hegaa gishshawu A ubbatoo azzanawusu."
"I regret saying terrible things to you.","gishshaw azzanays."
"The boy repented after he made a lot of mistakes.%(syn)","moori simmid azzaniis."
"Carrying small children on the back is tiresome","ba'iyogee daafurssiya ooso."
"This backpack is too heavy","work.%● Ha ba""oy mishireessi tookkanaw keehi deexo."
"Put down the load and have a little rest.","guuttaa shemppa ekka."
"Soldiers guard","baadiya%1. noun%► soldier; army%● Baadee nu biittaa naagees."
"The army broke","our country.%● Baadeti morkkiya citaa biittaappe kessidosona."
"During Derg regime, a lot of Ethiopian soldiers were killed in","hayqqidosona."
"The university is on","Yuniversttee hosppitaaliyappe haddirssa baggaara dees."
"Kaamee ogiyappe haddirssa baggaara laagettees.","the left side of the hospital."
"A wise person","failure; shortcoming; guilt%● Eranchcha uray ba balaa ammanees."
"Forgetfulness is being unable to","eriyobaa ha""i hassaya xayiyogaa woykko dogaa."
"Don't try to hide your","the past.%● Ne balaa kammanaw maloppa; ammanna."
"That boy is mad. Do not go near him.%","Hegee na'ay baqettees. Akko shiiqoppa."
"He was slapped entering into the","be slapped%● Dirbbaa giddo gelidi baqettiis."
"The man took the sheep to the market and sold it for an expensive","bayzziis."
"I wanted to sell","price.%● Ta ha booraa bayzzada haraa shammanaassi koyaas."
"His wife has deceived him for years.","gidiyagaa cimmaasu."
"The tall person was seen above all the people in","ubbaappe bollaara beettiis."
"Something is seen","the market.%● Masttootiyara aybakko beettees. Ane xeella."
"HIV/AIDS appeared in Ethiopia in 1979","harggee Toophphiyan 1979 M.Ln. beettiis."
"The village had been","and leave it flattened%● Nu heeray gottiyan beletiis."
"Press","(the sack in order to hold well)%● Otoy ubba donuwa ekkana xayikko bela."
"Everybody pointed out the thief.","Kaysuwa bolli asi ubbi biradhdhiis."
"It is taboo to point at people.","bolli kushiya coo biradhdhikko, pokkees."
"People point at people who have AIDS.%","Eedisee oyqqido uraa asay biradhdhees."
"An only child is a person who","Ishi michcha yelettibeenna asi bizza geettees."
"She is the only child; she has no brother or sister.","baawa."
"She gives to the teacher outstanding","asttamaariyassi bizza zaaruwa immaws."
"The rough road damaged our tires.","goommaa mooriis."
"The rough street is not suitable for vehicles.","gommaara biyabatussi giigenna."
"I have","%● Taani deriya huuphiya borchchiborchcha deriya ogiyan yuuyayda pe'as."
"The department has been","yohuwa wudidi xeellibeenna gishshawu borettiis."
"The Bible completely reproaches sin.%(syn) [hooshiis.]","nagaraa woqqasees."
"The highway workers hacked the trees.","asati mittaa buttidosona."
"The war killed a large","large number of people)%● Olay daro asaa buttiis."
"The butter soured.","(dough) %● Oyssay caaliis."
