text,English,label
aatuwa%1. noun%► leak%● Kaaray aatuwa doommiis.,The roof began leakinig,negative
laggetu giddon diya issippetetaa moorees.,An insult can break the tie between,negative
aatuwa%1. noun%► leak%● Kaaray aatuwa doommiis.,The roof began leakinig,negative
laggetu giddon diya issippetetaa moorees.,An insult can break the tie between,negative
miichchiya haysiya odaasu.,Our grandmother told us an amusing story.,positive
aayyiya keha asa gidiyo gishshaw naata ubbaa siiqaws.,Her grandmother is kind,positive
and loves every child equally.%● Tana aawaa aayyiya dichchaasu.,My grandmother,positive
dicciiddi geesaa aduqqoosona.,Young children become taller when they grow up.,positive
"%● Nu minnidi oottana xayikko, ha oosoy ellellenna.","Unless we work hard, the",negative
work will take longer. %● I zilayttappe ha laytti geesaa aduqqiis.,He has,positive
"plan), be canceled%● Neeni eesotan xayikko, oosoy agacees.",If you are not,positive
agaciis.,"Because the bosses were reluctant, the work was aborted",negative
Oosanchchati loodaara oottiyogaa gaasuwan oosoy agaciis.,Because the workers,negative
alamiya%1. noun%► world; earth%● koyro alamiya olaa,the first world war,positive
issi turistteti alamiya ubbaayuuyoosona.,Some tourists travel the whole world.,positive
%● alamiyasarotaa,world peace%(syn) [sa'aa],positive
saamuwa maattaappe aaro alees.,Cold water quenches my thirst better than milk.,negative
%● Ta burccukko haattaa uyada saamuwa alaas.,I quenched my thirst after I,positive
drank a glass of water.%● Ne oottido oosuwan taani alabeykke.,I am not,negative
Almaazee alleeqo.,A diamond is a jewel.,positive
bayzzees.,A jeweler sells jewelery.,positive
aattees kushiyankka wottees.,People often put ornaments around their necks and,negative
gidiyo gishshawu taani A ammanays.,I trust him because he is an honest boy.,positive
Bitanee daafan hayqqidoogaa xaacee ammanees.,The policeman believes that the,positive
ammaniis.,People confronted him about his misdeeds and he admitted to them.,negative
darotoo bantta naatussi aattoosona.,"When the time of death comes, fathers",negative
"Maccaasiya maxiniya shammishin, bayzziyagee guutta anjjuwa immiis.",When the,positive
anttettaa demmiis.,He got permission to attend the class.,positive
soo baanawu anttettaa diggiis.,The teacher did not give me permission to go,negative
lagguwa danddayays.,"Although I haven't a driver's license, I am able to drive",positive
muliya xiskkidi aqiis.,He spent the whole night sleeping.,negative
sooppe karen aqanawu anttenna.,My husband does not allow me to spend the night,negative
away from our home.%► agree%● I ta giidosan aqiis. Tanaara palamettibeenna.,He,positive
araataa%1. noun%► throne%● kawuwa araataa,the throne of a king,positive
kawuwassi bonchcho oyde.,A throne is an elaborate chair for royalty.,positive
seat%● Aaway araataa bolli uttiis.,Father sat on the chair.,positive
miida.,We ate half a kilo of roasted meat for breakfast.,negative
kanaassi qanxxada ola.,Give a portion of meat to my dog.,negative
na'ay taayyoo asho.,My brother's son is my relative.,positive
shiishshi ekkiyagaa gidanawu koshshees.,A teacher has to be friendly to his,negative
takkiis.,"The teacher, to whom I spoke, has been teaching for ten years.",positive
baawa.,Our instructor is a beginner. He is not experienced in explaining the,negative
giis.,He forgave me when I came late.%(syn) [maariis],negative
ay keenaa%1. adverb%► how long%● A: Ne ay keena wodiya hagan takkadii?,A: How,positive
long have you been here?%● B: Tammu laytta takkaas.,B: For ten years.,negative
keena Inggillizettuwa tamaaradii?,How long have you been studying English?%,negative
aymuwa%1. noun%► dream; nightmare%● Niyo lo''o aymo gido!,Sweat dreams!,positive
